site,block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes,variable1,day,type,full_name,seed_year,lat,long,elev_m
LV3,B1,D1-S2-6,6,C10,92,0.67,11,NA,2.1,7,2,BP,NA,0.118818538,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D1-S2-10,6,C10,93,0.49,16,NA,1.8,7,2,GP,NA,0.099074679,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D2-S2-6,6,C10,94,0.39,8,NA,1.2,4,2,NA,NA,0.955347182,NA,NA,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D2-S1-8,6,C10,95,0.68,13,NA,1.9,6,1,BP,NA,0.565441947,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D1-S2-6,6,C10,96,0.5,14,NA,1.7,6,1,WP,NA,0.815846156,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S2-5,6,C10,97,0.38,14,NA,1.1,6,1,OS,NA,0.791212047,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S1-6,6,C11,1,0.44,5,NA,0.5,4,0,OP,NA,0.295548761,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S2-5,6,C11,2,0.55,9,NA,0.1,5,2,WP,NA,0.256791886,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D1-S1-9,6,C11,3,0.59,10,NA,1.3,5,2,WP,NA,0.833891281,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S1-1,6,C11,4,0.56,9,NA,0.9,4,1,RS,NA,0.446414688,7,red sword,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D1-S2-5,6,C11,5,0.78,16,NA,4,5,2,GP,NA,0.714632928,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D1-S2-3,6,C11,6,1.02,9,NA,1.6,6,2,OP,NA,0.330940169,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D2-S1-4,6,C11,7,0.82,10,NA,1.6,5,2,GP,NA,0.301758782,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D1-S1-6,6,C11,8,0.89,11,NA,3.4,7,2,GP,NA,0.50299958,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B2,D2-S2-8,6,C11,9,0.8,9,NA,1.9,6,2,WP,NA,NA,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S1-10,6,C11,10,0.58,8,NA,1.1,3,2,OP,NA,NA,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S1-3,6,C11,11,0.57,9,NA,1,4,2,BP,NA,NA,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S2-2,6,C11,12,0.98,11,NA,1.4,6,2,WP,NA,NA,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S1-9,6,C11,13,0.86,11,NA,1.7,6,2,BP,NA,NA,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S2-10,6,C11,14,0.8,9,NA,1.6,6,2,GP,NA,NA,0,green toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D1-S1-5,6,C11,15,0.8,12,NA,1,5,2,OS,NA,NA,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D1-S1-10,6,C11,16,0.85,11,NA,2.5,6,2,BP,NA,NA,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S2-7,6,C11,17,0.85,11,NA,1.3,5,2,WP,NA,NA,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S1-5,6,C11,18,0.6,7,NA,0.4,5,0,OS,NA,NA,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D1-S1-2,6,C11,19,0.73,12,NA,2.1,5,2,OP,NA,NA,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D1-S2-3,6,C11,20,0.67,13,NA,1.7,5,2,OP,NA,NA,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B1,D1-S1-7,6,C11,21,0.81,11,NA,1.7,6,2,OP,NA,0.323709362,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D2-S1-3,6,C11,22,0.73,12,NA,1.7,6,1,BP,NA,0.350398748,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D1-S1-4,6,C11,23,0.81,11,NA,1.8,5,2,WP,NA,0.238311361,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D2-S2-3,6,C11,24,0.95,9,NA,1.6,9,2,GP,NA,0.686261925,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B2,D1-S2-1,6,C11,25,0.92,13,NA,2.1,5,2,GP,NA,0.166438682,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B2,D1-S1-4,6,C11,26,0.44,5,NA,0.4,4,2,RS,NA,0.042146863,7,red sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S2-10,6,C11,27,0.91,11,NA,1.9,6,2,OP,NA,0.45536884,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B1,D1-S2-1,6,C11,28,1,12,NA,1.9,6,2,WP,NA,0.437578525,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D1-S1-1,6,C11,29,0.86,14,NA,2.9,5,2,GP,NA,0.470140437,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B1,D1-S2-8,6,C11,30,0.9,13,NA,1.8,6,0,OS,NA,0.618717291,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D1-S2-5,6,C11,31,0.79,16,NA,1.7,5,2,GP,NA,0.879014164,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D2-S2-3,6,C11,32,0.89,11,NA,1.7,6,1,OP,NA,0.302098525,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S1-2,6,C11,33,0.88,9,NA,1,6,2,YP,NA,0.370592205,1,yellow toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S2-1,6,C11,34,0.93,16,NA,4.1,6,0,OP,NA,0.795661786,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B1,D1-S1-6,6,C11,35,0.64,11,NA,1.3,5,2,BS,NA,0.784504347,6,blue sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B3,D2-S1-2,6,C11,36,0.96,12,NA,2,6,0,BS,NA,0.96424926,6,blue sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S1-8,6,C11,37,0.83,13,NA,2.1,6,2,YP,NA,0.297745748,1,yellow toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S1-2,6,C11,38,0.85,13,NA,1.4,4,2,OS,NA,0.359019665,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S1-5,6,C11,39,0.64,8,NA,1.2,6,2,BP,NA,0.637050124,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D1-S2-7,6,C11,40,0.9,15,NA,3.6,6,2,GP,NA,0.546499846,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D2-S2-8,6,C11,41,0.84,13,NA,4.5,5,2,NA,NA,0.169527507,NA,NA,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B2,D1-S1-9,6,C11,42,1.21,12,NA,2.2,8,1,WP,NA,0.712992362,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S1-4,6,C11,43,1,12,NA,2.1,7,0,OP,NA,0.333302272,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D1-S1-7,6,C11,44,0.8,12,NA,1.6,5,0,YP,NA,0.09980198,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D1-S2-2,6,C11,45,0.81,13,NA,1.7,6,2,OP,NA,0.347721023,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D2-S1-2,6,C11,46,0.77,7,NA,1.8,6,0,WP,NA,0.365243665,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B1,D1-S1-9,6,C11,47,0.78,14,NA,1.8,6,2,OP,NA,0.277735034,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S1-4,6,C11,48,0.55,14,NA,2.9,5,2,GP,NA,0.032017906,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D2-S1-9,6,C11,49,0.79,12,NA,2.5,5,2,GP,NA,0.737638683,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D1-S1-2,6,C11,50,0.65,9,NA,1.2,5,2,BP,NA,0.092909831,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D1-S1-10,6,C11,51,0.91,19,NA,3.2,6,2,GP,NA,0.369090078,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D2-S2-9,6,C11,52,0.72,10,NA,1.2,5,2,GP,NA,0.277186003,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B2,D1-S1-3,6,C11,53,0.45,7,NA,1,4,2,WS,NA,0.384838021,10,white sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D1-S2-8,6,C11,54,0.61,17,NA,2.3,4,2,YP,NA,0.208467665,1,yellow toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S1-2,6,C11,55,0.63,7,NA,1.1,4,2,GP,NA,0.533492372,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D1-S1-8,6,C11,56,0.79,17,NA,5.3,6,2,GP,NA,0.195531796,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D2-S2-10,6,C11,57,0.55,10,NA,1.2,5,2,PS,NA,NA,8,pink sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S2-6,6,C11,58,0.88,13,NA,2.1,7,2,OS,NA,0.073716687,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D1-S2-3,6,C11,59,0.9,13,NA,2.2,7,2,OP,NA,0.182714008,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S2-4,6,C11,60,0.48,9,NA,2,5,2,YP,NA,0.213089481,1,yellow toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S1-5,6,C11,61,0.82,10,NA,1.4,6,2,BP,NA,0.400233602,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S1-7,6,C11,62,0.62,6,NA,0.5,4,2,OP,NA,0.126448825,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D2-S2-10,6,C11,63,0.89,19,NA,5.1,6,2,GP,NA,0.086670603,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D2-S1-4,6,C11,64,0.76,15,NA,1.2,6,2,GP,NA,0.164774504,0,green toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B1,D1-S1-1,6,C11,65,0.86,11,NA,1.8,8,2,BP,NA,0.470561487,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S1-6,6,C11,66,0.6,14,NA,2.9,6,2,YP,NA,0.544161761,1,yellow toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D2-S1-1,6,C11,67,0.74,10,NA,1.2,5,2,WP,NA,0.359585024,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S1-8,6,C11,68,0.53,15,NA,3.5,4,2,GP,NA,0.351163404,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D1-S1-1,6,C11,69,0.9,12,NA,2.1,5,2,OP,NA,0.894008796,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S1-4,6,C11,70,0.79,14,NA,3.2,5,0,GP,NA,0.809809266,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D1-S1-3,6,C11,71,0.79,16,NA,3.2,5,2,GP,NA,0.486689847,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D1-S1-3,6,C11,72,0.96,12,NA,2.2,6,2,BP,NA,0.193069273,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S1-7,6,C11,73,0.68,10,NA,3.2,5,2,GP,NA,0.31514296,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D2-S2-4,6,C11,74,0.85,14,NA,1.8,5,2,YP,NA,0.162273096,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D2-S2-8,6,C11,75,0.68,9,NA,1.8,4,2,RS,NA,0.455457824,7,red sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D1-S1-7,6,C11,76,0.67,12,NA,2.2,6,1,BP,NA,0.59933726,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D2-S1-8,6,C11,77,0.57,10,NA,2.2,5,2,GP,NA,0.937895975,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D2-S1-10,6,C11,78,0.74,12,NA,1.3,6,2,BS,NA,0.415187453,6,blue sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D1-S2-7,6,C11,79,0.86,10,NA,2.1,6,1,BS,NA,0.131489272,6,blue sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S1-7,6,C11,80,0.91,13,NA,1.4,5,2,YS,NA,0.194913549,9,yellow sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D2-S1-7,6,C11,81,0.95,8,NA,1.7,5,2,OS,NA,0.278627846,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S2-5,6,C11,83,1.17,12,NA,2.1,7,2,BS,NA,0.32002819,6,blue sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S1-9,6,C11,84,0.8,15,NA,5.4,6,2,GP,NA,0.544037329,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D2-S1-1,6,C11,85,0.72,14,NA,2,5,2,GP,NA,0.319870433,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D2-S2-5,6,C11,86,0.9,13,NA,1.5,7,2,OP,NA,0.294954438,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D1-S2-3,6,C11,87,0.81,14,NA,2.1,8,2,YP,NA,0.889445133,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B2,D1-S2-9,6,C11,88,0.76,10,NA,2,7,2,BP,NA,0.397570379,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S2-9,6,C11,89,0.77,12,NA,1.9,6,2,WP,NA,0.299764993,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S1-7,6,C11,90,0.87,12,NA,1.9,7,2,BP,NA,0.884104723,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D1-S2-1,6,C11,91,1,17,NA,4.5,5,2,GP,NA,0.996236018,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S2-9,6,C11,92,0.84,14,NA,1.6,6,2,YP,NA,0.793735481,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B2,D1-S2-6,6,C11,93,0.65,15,NA,1.9,5,2,OP,NA,0.324321689,2,orange toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B2,D1-S1-5,6,C11,94,0.92,13,NA,2.2,6,2,WP,NA,0.697357749,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D2-S1-4,6,C11,95,0.95,13,NA,2.9,5,1,WP,NA,0.509675721,3,white toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S1-5,6,C11,96,0.66,9,NA,1.5,4,2,GP,NA,0.52580236,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D1-S2-2,6,C11,97,0.87,15,NA,1.5,5,2,BP,NA,0.723745051,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D2-S1-7,6,C11,98,0.79,14,NA,3,5,2,GP,NA,0.607981803,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D1-S1-4,6,C12,1,0.73,15,NA,4.4,5,2,GP,NA,0.688202534,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S2-6,6,C12,2,0.48,16,NA,3.5,6,2,GP,NA,0.199904133,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D1-S2-7,6,C12,3,0.44,15,NA,2.6,5,2,GP,NA,0.061427375,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B1,D2-S1-6,6,C12,5,0.51,14,NA,3,5,2,GP,NA,0.272474324,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D1-S2-7,6,C12,6,0.28,12,NA,2.2,6,2,BP,NA,0.748369639,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D2-S2-5,6,C12,7,0.26,11,NA,1.5,6,2,GP,NA,0.500989581,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B1,D2-S1-2,6,C12,8,0.31,10,NA,1.7,4,2,GP,NA,0.633188044,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D1-S1-5,6,C12,9,0.3,17,NA,3.5,6,2,GP,NA,0.762062001,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D2-S1-5,6,C12,10,0.42,16,NA,2,6,2,BP,NA,0.183830979,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D2-S2-7,6,C12,11,0.24,9,NA,1.6,5,2,RS,NA,0.183197837,7,red sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D1-S2-3,6,C12,12,0.38,9,NA,2.6,4,2,BP,NA,0.006008351,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D1-S1-6,6,C12,13,0.51,19,NA,4.3,6,2,RS,NA,0.463779553,7,red sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B2,D1-S2-2,6,C12,14,0.77,16,NA,2.9,13,2,WP,NA,0.540574934,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D2-S2-5,6,C12,15,0.09,8,NA,1.1,5,1,YS,NA,0.344482179,9,yellow sword,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S2-3,6,C12,16,0.35,17,NA,2.5,7,2,YP,NA,0.091627301,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B3,D2-S1-4,6,C12,17,0.35,11,NA,2.9,6,2,BP,NA,0.87822063,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S2-9,6,C12,18,0.56,13,NA,2.4,8,2,BP,NA,0.372779657,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D1-S1-3,6,C12,19,0.29,11,NA,1.6,5,2,BP,NA,0.618886188,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S2-6,6,C12,20,0.2,8,NA,1,4,0,NA,NA,0.134061241,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B1,D2-S1-7,6,C12,21,0.43,10,NA,2.1,6,2,BP,NA,0.10348359,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D2-S2-9,6,C12,22,0.45,13,NA,1.5,5,2,NA,NA,0.605490762,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S2-3,6,C12,23,0.37,12,NA,1.7,6,2,NA,NA,0.498065974,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B3,D1-S2-6,6,C12,24,0.38,10,NA,2.5,7,2,GP,NA,0.76406756,0,green toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S2-8,6,C12,25,0.27,9,NA,1.5,4,2,BP,NA,0.093777988,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S2-9,6,C12,26,0.32,13,NA,2,6,2,BS,NA,0.976906136,6,blue sword,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D2-S2-7,6,C12,27,0.53,17,NA,4.5,5,2,GP,NA,0.798587804,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S1-6,6,C12,28,0.6,15,NA,4.9,7,1,YP,NA,0.559927259,1,yellow toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D2-S1-5,6,C12,29,0.47,11,NA,1.9,6,2,BP,NA,0.227697134,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D2-S1-2,6,C12,30,0.23,16,NA,3.2,6,2,GP,NA,0.094138975,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D2-S1-6,6,C12,31,0.76,12,NA,2.2,6,2,BP,NA,0.11798203,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D1-S1-2,6,C12,32,0.54,15,NA,2.5,4,1,OS,NA,0.003271303,5,orange sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B2,D1-S1-3,6,C12,33,0.41,9,NA,1,4,2,NA,NA,0.497289761,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S2-1,6,C12,34,0.56,14,NA,2.3,5,2,OS,NA,0.31090186,5,orange sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B1,D1-S1-10,6,C12,35,0.71,12,NA,2,5,2,GP,NA,0.605861501,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B3,D2-S2-3,6,C12,36,0.81,14,NA,2.5,7,2,YP,NA,0.295743425,1,yellow toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D2-S1-5,6,C12,37,0.54,10,NA,1.5,4,2,WP,NA,0.626200787,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D2-S2-2,6,C12,38,0.6,20,NA,2.2,6,2,GP,NA,0.973354199,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D1-S2-5,6,C12,39,0.49,20,NA,5.1,5,2,GP,NA,0.631387155,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B1,D1-S2-10,6,C12,40,0.26,10,NA,1,4,2,RS,NA,0.552708751,7,red sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D1-S2-6,6,C12,41,0.43,8,NA,2.7,7,2,BP,NA,0.087476547,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D2-S2-4,6,C12,42,0.46,11,NA,1.5,5,2,BP,NA,0.279012467,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D2-S2-1,6,C12,43,0.31,11,NA,1.4,5,2,BS,NA,0.10868515,6,blue sword,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D2-S1-4,6,C12,44,0.76,15,NA,2.4,5,2,BP,NA,0.703738303,4,blue toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B3,D1-S2-1,6,C12,45,0.38,10,NA,2,6,2,RS,NA,0.742397465,7,red sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D1-S1-6,6,C12,46,0.36,12,NA,2.1,4,2,BP,NA,0.741669698,4,blue toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D1-S1-10,6,C12,47,0.37,13,NA,1.7,5,2,BP,NA,0.201249324,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D2-S2-5,6,C12,48,0.4,10,NA,1.9,5,2,GP,NA,0.65423264,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B3,D1-S1-7,6,C12,50,0.46,11,NA,2.2,6,2,BP,NA,0.963149923,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S2-7,6,C12,51,0.58,16,NA,2.1,6,2,GP,NA,0.807522966,0,green toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D2-S2-10,6,C12,52,0.32,12,NA,3.4,4,2,GP,NA,0.291705469,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B2,D1-S2-1,6,C12,53,0.45,17,NA,1.3,6,2,BS,NA,0.759546865,6,blue sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S1-4,6,C12,54,0.41,10,NA,1.5,5,2,WP,NA,0.64373679,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S2-7,6,C12,55,0.52,15,NA,2.6,5,2,BP,NA,0.078053976,4,blue toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D2-S2-8,6,C12,56,0.28,9,NA,0.9,4,2,NA,NA,0.280256236,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D2-S2-1,6,C12,57,0.52,17,NA,4.1,7,2,GP,NA,0.142280236,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S2-4,6,C12,58,0.65,17,NA,1.9,5,2,BP,NA,0.762104207,4,blue toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B2,D2-S2-3,6,C12,59,0.46,15,NA,2.4,6,2,BS,NA,NA,6,blue sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D2-S1-9,6,C12,60,0.47,18,NA,3.3,6,2,BP,NA,0.113335948,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
